Sl No,Udise Code,School Name,District Name,Block Name,Type,Management,Category,Class From,Class To,Status,TOT STUDENT(1 TO 12),TOT TEACHER,PS TOT,UPS TOT,SEC TOT,HI SEC TOT,Pre-Primary Availability,No. of Pre-Primary Classes,School Location,Arts Stream,Commerce Stream,Science Stream,Vocational Stream,Other Streams
2,21150902201,ANGUL GOVT HIGH SCHOOL,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,1109,24,0,387,722,0,NA,NA,2-Urban,NA,NA,NA,NA,NA
7,21150101401,Badakantakul Nodal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,102,5,59,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
12,21150103901,BALASINGHA NODAL HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,468,17,140,143,185,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
13,21150104001,Balisahi NUPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,176,6,110,66,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
18,21150105702,BANTALA GOVERNMENT HIGH SCHOOL,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,297,12,0,182,115,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
21,21150106302,Baragounia Nodal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,7,Oper,109,4,49,60,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
22,21150107201,Bedasasan Nodal HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,330,14,34,167,129,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23,21150111202,Bentapur Nodal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,247,7,110,137,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
28,21150119102,Chandrabahal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,137,6,0,137,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
31,21150901101,Collegepada UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,287,9,148,139,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
38,21150111203,Godisahi PUPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,92,5,66,26,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
42,21150901801,Govt. Girls HS Angul,ANGUL-2115,ANGUL-211501,2-Girls,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,278,12,0,97,181,0,NA,NA,2-Urban,NA,NA,NA,NA,NA
44,21150902301,Govt. Town UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,363,12,242,121,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
45,21150106101,GOVT  U P SCHOOL BADAHINSO,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,131,4,74,57,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
46,21150116001,"Govt. UPS, Purunagarh",ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,314,8,70,244,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
47,21150107502,Hamamira UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,103,5,73,30,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
54,21150900802,Hulurisingha UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,460,12,236,224,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
55,21150109502,Inkarbandha UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,104,5,59,45,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
56,21150110402,Jagannathpur UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,131,5,87,44,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
58,21150100701,"Janata Nodal UPS, Dandasingha",ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,118,4,34,84,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
59,21150105801,Jaraorpur UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,110,5,49,61,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
64,21150122501,Kalapat HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,435,13,138,158,139,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
67,21150111205,Kangula Nodal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,120,6,59,61,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
71,21150111501,KHALARI NODAL HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,716,20,100,295,321,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
72,21150111601,Khamar (A) UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,49,3,0,49,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
75,21150111901,Khinda UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,233,4,99,134,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
76,21150112902,Kothabhuin UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,184,6,93,91,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
80,21150114801,Kulusar PUPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,62,3,30,32,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
93,21150119601,Musapapuli UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,209,10,113,96,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
96,21150117602,Nandapur UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,265,7,0,265,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
98,21150107901,NUAGAON NEW UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,102,5,66,36,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
101,21150111207,Nuasahi UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,245,9,124,121,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
103,21150113901,"PANCHAYAT NODAL HS,KUMURISINGHA",ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,592,14,0,343,249,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
107,21150118102,POKATUNGA NODAL HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,361,11,0,216,145,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
111,21150901701,PTC NODAL HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,782,22,202,322,258,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
113,21150118701,PURUNAKOTE NODAL HS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,157,9,0,86,71,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
118,21150101201,Rodasingha UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,60,3,44,16,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
120,21150105501,Saradhapur (A) UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,136,7,93,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
121,21150121101,Saradhapur (P) UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,96,3,52,44,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
124,21150900201,Shikshakapada UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,116,6,66,50,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
126,21150102403,"SHREE  JAGANNATH GOVT. HIGH SCHOOL, BADAKERA",ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,524,17,0,281,243,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
131,21150122003,Tainsi Nodal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,168,6,40,128,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
135,21150123701,Tikarapada UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,86,5,54,32,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
139,21150901901,Uttarpada Nodal UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,567,11,309,258,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
160,21150120301,Balijeranga Project UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,116,5,66,50,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
161,21150111001,Barasingha Project UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,192,7,101,91,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
162,21150106801,BASALA PROJECT U.P.SCHOOL,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,162,6,99,63,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
163,21150102502,Champatimunda Project UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,186,6,89,97,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
164,21150116801,CHANDANPUR P UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,98,5,49,49,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
165,21150122001,Dhauragotha Project U.P School,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,136,5,52,84,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
166,21150100802,Ganjada PROJECT UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,138,6,80,58,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
167,21150108101,GOPALPUR PROJECT UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,87,4,53,34,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
168,21150120601,"GOVT UP SCHOOL,GURUDHI",ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,65,3,34,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
169,21150120101,GOVT UPS KHALAGAON,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,161,5,111,50,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
170,21150101503,JAMUGADIA PUPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,104,5,62,42,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
171,21150114501,KANDHAKOILI PUPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,77,4,54,23,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
172,21150101602,Kanja Project UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,100,5,75,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
173,21150123001,Karadapada PUPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,93,4,62,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
174,21150116101,MADAN MOHAN PATNA PROJECT U.P. SCHOOL.,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,305,9,173,132,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
175,21150107802,Nathasahi Project UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,211,6,109,102,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
176,21150119801,PANCHAMAHALA P.U.P.S,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,164,6,104,60,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
177,21150114002,PATELI PROJECT UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,122,4,68,54,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
178,21150104901,SURABA PROJECT UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,173,7,84,89,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
179,21150110701,Takarsingha PROJECT UPS,ANGUL-2115,ANGUL-211501,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,78,4,46,32,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
180,21150103201,"BALANGA GOVT.UGHS,BALANGA",ANGUL-2115,ANGUL-211501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,250,7,98,94,58,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
181,21150108001,Dhokuta Govt. UGHS,ANGUL-2115,ANGUL-211501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,381,15,171,117,93,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
182,21150100402,"GOVT.UGHS,ANTULIA",ANGUL-2115,ANGUL-211501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,277,12,91,98,88,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
183,21150108801,GOVT.UPGRADED HIGH SCHOOL GADATARAS,ANGUL-2115,ANGUL-211501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,489,14,160,184,145,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
184,21150115001,MANIKJODI UGHS,ANGUL-2115,ANGUL-211501,3-Co-ed,18 - 18-NEW UGHS UNDER RMSA,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,141,9,57,46,38,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
185,21150120201,"GOVT. UG HIGH SCHOOL, SANKHAPUR",ANGUL-2115,ANGUL-211501,3-Co-ed,19 - 19-NEW UGHS UNDER SME DEPARTMENT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,273,12,143,85,45,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
270,21150200102,AIDA NUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,223,7,107,116,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
274,21150201603,Ambasarmunda TO UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,236,5,0,236,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
279,21150212101,BANAMALIPUR PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,96,4,57,39,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
281,21150228501,Bantol PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,74,4,49,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
283,21151000501,Baragaon Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,242,10,133,109,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
285,21150203702,BASUDEVPUR UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,37,2,0,37,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
286,21150228601,BATRAKHOL PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,40,4,31,9,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
291,21150216101,"BINIKEYEE NODAL HIGH SCHOOL,LUHASINGA",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,246,11,66,83,97,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
309,21150207801,"GOVT.U P SCHOOL, BELADULA",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,100,4,56,44,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
310,21150225203,GOVT UPS PEDIPATHAR,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,164,4,0,164,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
311,21150234802,GOVT. UPS TUSAR,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,199,5,102,97,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
314,21150231801,Hatasimili UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,137,6,83,54,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
316,21150202501,"Jagannath TO UPS, Mamurijharan",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,56,3,0,56,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
318,21150225001,Jhilimunda PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,87,4,69,18,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
324,21150207302,Kampala TO UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,242,5,97,145,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
325,21150208301,Kandhapada Nodal UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,142,5,65,77,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
326,21150221001,Kansab (A) Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,75,4,46,29,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
329,21150209703,Kantapada TO UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,66,2,0,66,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
334,21150212901,Khadagbahal Tentulipathar Nodal UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,91,4,52,39,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
337,21150211003,Kiakata TO UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,135,6,0,135,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
343,21150226101,Kushapur PS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,101,3,46,55,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
344,21150230301,KUSUMDHARA PROJECT UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,44,3,25,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
346,21150205801,KUTULSINGA TO UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,47,2,0,47,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
350,21150217202,LUNAHANDI UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,136,5,71,65,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
352,21150219002,Madhapur Nodal UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,262,6,66,196,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
353,21151001201,"Mahendra HS, Athamallik",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,822,21,164,338,320,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
366,21150227901,"PANCHYAT RAJ NODAL HIGH SCHOOL,SANHULA",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,450,14,73,171,206,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
372,21150223903,"RADHAMADHAB GOVT. HIGH SCHOOL,PAIKISAHI",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,525,15,0,235,290,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
